title,price,img,link,category,rating,review_count,availability
Signal Amplifier 100k-6GHz Full Band Low Noise 9037BAT-LNA RF Amplifier High Linearity Ultra-Low Noise Gain Block Amplifier,10.06,https://imgaz2.staticbg.com/thumb/view/oaupload/banggood/images/A5/4F/37580233-e367-400d-8c2b-736131f896fa.jpg.webp,https://www.banggood.com/Signal-Amplifier-100k-6GHz-Full-Band-Low-Noise-9037BAT-LNA-RF-Amplifier-High-Linearity-Ultra-Low-Noise-Gain-Block-Amplifier-p-2012844.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=0,Electronics,4.3,378,In Stock
JYETech DSO183 DIY Oscilloscope Kit 500KHz ADC Built in Signal Generator Waveform Display for Electronic Competition Training,12.21,https://imgaz3.staticbg.com/thumb/view/oaupload/banggood/images/49/B4/e3ca33a2-271d-4358-8118-7304c00d511f.jpg.webp,https://www.banggood.com/JYETech-DSO183-DIY-Oscilloscope-Kit-500KHz-ADC-Built-in-Signal-Generator-Waveform-Display-for-Electronic-Competition-Training-p-2035976.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6321524,Electronics,4.3,244,In Stock
Donut AM MW/SW Mini Loop Antenna+High Resistance Amplifier Kit for HFDY Malahiteam DSP DSP2 Receiver HF Middle Wave,22.22,https://imgaz2.staticbg.com/thumb/view/oaupload/banggood/images/63/31/b7a5f7d9-5563-44b1-9b58-9ab484765d8e.jpg.webp,https://www.banggood.com/Donut-AM-MW-or-SW-Mini-Loop-Antenna+High-Resistance-Amplifier-Kit-for-HFDY-Malahiteam-DSP-DSP2-Receiver-HF-Middle-Wave-p-1997437.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=0,Electronics,3.6,125,In Stock
Hohem M7 iSteady M7 Cell Phone Gimbal Stabilizer 3-axis Anti-Shake Stands Extendable Selfie Stick for Live Vlog,205.15,https://imgaz2.staticbg.com/thumb/view/oaupload/banggood/images/7C/F4/a6d40fdc-0701-4137-a8d2-58a0ac566f44.jpg.webp,https://www.banggood.com/Hohem-M7-iSteady-M7-Cell-Phone-Gimbal-Stabilizer-3-axis-Anti-Shake-Stands-Extendable-Selfie-Stick-for-Live-Vlog-p-2029635.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6331384,Electronics,4.2,277,In Stock
KEWEISI KWS-1902L Type-C Tester 4-30V 0-8A Power Meter USB Fast Charging Monitor Bidirectional Testing TFT Display High Precision Voltage Current Measurement,7.42,https://imgaz3.staticbg.com/thumb/view/oaupload/banggood/images/12/D5/a7c556ff-7adc-4574-b0eb-8d7254cf81cc.jpg.webp,https://www.banggood.com/KEWEISI-KWS-1902L-Type-C-Tester-4-30V-0-8A-Power-Meter-USB-Fast-Charging-Monitor-Bidirectional-Testing-TFT-Display-High-Precision-Voltage-Current-Measurement-p-2041769.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6287845,Electronics,3.8,23,In Stock
AMNVOLT ATR1000 1000W 1.8-30MHz Automatic Antenna Tuner HF Shortwave Radio Tuner Supports WIFI Remote Control For YAESU ICOM,232.24,https://imgaz3.staticbg.com/thumb/view/oaupload/banggood/images/01/F7/96700da4-5f72-48aa-8ad5-dd372746889c.jpg.webp,https://www.banggood.com/AMNVOLT-ATR1000-1000W-1_8-30MHz-Automatic-Antenna-Tuner-HF-Shortwave-Radio-Tuner-Supports-WIFI-Remote-Control-For-YAESU-ICOM-p-2042560.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6287830,Electronics,3.6,350,In Stock
5Pcs LM2596 DC-DC Voltage Regulator Adjustable Step Down Power Supply Module With Display,8.51,https://imgaz2.staticbg.com/thumb/view/oaupload/banggood/images/FE/2E/c9a0cb06-3126-407d-bd49-ac0f7420b5b1.jpg.webp,https://www.banggood.com/5Pcs-LM2596-DC-DC-Voltage-Regulator-Adjustable-Step-Down-Power-Supply-Module-With-Display-p-1180685.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=0,Electronics,3.3,24,In Stock
XY6020L 6-70V CNC Adjustable Stabilized Voltage Power Supply Constant Voltage Constant Current 20A/1200W Buck Module,6.96,https://imgaz1.staticbg.com/thumb/view/oaupload/banggood/images/3B/0C/ab3b96cd-8a15-485b-afec-c24e3bf099cb.jpg.webp,https://www.banggood.com/XY6020L-6-70V-CNC-Adjustable-Stabilized-Voltage-Power-Supply-Constant-Voltage-Constant-Current-20A-or-1200W-Buck-Module-p-1995536.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6336066,Electronics,4.8,422,In Stock
LILYGO® T-Deck Pro ESP32-S3 Development Board 4G/PCM5102A/LoRa/GPS E-Paper Touchscreen QWIIC Interface IoT Communication Device,89.02,https://imgaz2.staticbg.com/thumb/view/oaupload/banggood/images/BF/39/63039478-4f92-4667-b18a-e186c0ca7194.jpg.webp,https://www.banggood.com/LILYGO-T-Deck-Pro-ESP32-S3-Development-Board-4G-or-PCM5102A-or-LoRa-or-GPS-E-Paper-Touchscreen-QWIIC-Interface-IoT-Communication-Device-p-2036455.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=63241736333564,Electronics,4.9,493,In Stock
6 Digits DIY Clock Kit Auto Display Time DIY Alarm Clock Soldering Practice Kit for Students and Diyers DC4.5V-5.5V,7.73,https://imgaz2.staticbg.com/thumb/view/oaupload/banggood/images/78/6E/7580cfdd-b376-404e-8c52-c50c897862b1.jpg.webp,https://www.banggood.com/6-Digits-DIY-Clock-Kit-Auto-Display-Time-DIY-Alarm-Clock-Soldering-Practice-Kit-for-Students-and-Diyers-DC4_5V-5_5V-p-2009342.html?rmmds=ElectronicsFlashDeals&cur_warehouse=CN&ID=6314576,Electronics,4.6,486,In Stock
